"filename", "language", "XML", "C#", "Swift", "C++", "YAML", "Dart", "comment", "blank", "total"
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\models\person_model.dart", "Dart", 0, 0, 0, 0, 0, 28, 0, 4, 32
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\models\user.dart", "Dart", 0, 0, 0, 0, 0, -17, 0, -3, -20
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\models\user_model.dart", "Dart", 0, 0, 0, 0, 0, 44, 0, 3, 47
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\models\weather_model.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 15
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\services\network_service.dart", "Dart", 0, 0, 0, 0, 0, 78, 5, 13, 96
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\services\weather_service.dart", "Dart", 0, 0, 0, 0, 0, 4, 0, -1, 3
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\viewmodels\auth_viewmodel.dart", "Dart", 0, 0, 0, 0, 0, 31, 5, 9, 45
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\viewmodels\person_viewmodel.dart", "Dart", 0, 0, 0, 0, 0, 58, 1, 7, 66
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\views\auth\login_page.dart", "Dart", 0, 0, 0, 0, 0, -2, 0, 0, -2
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\views\auth\register_page.dart", "Dart", 0, 0, 0, 0, 0, 107, 0, 2, 109
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\views\home\home_page.dart", "Dart", 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\views\person\register_person_page.dart", "Dart", 0, 0, 0, 0, 0, 86, 0, 3, 89
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\widgets\profile_widget.dart", "Dart", 0, 0, 0, 0, 0, 45, 1, 5, 51
"c:\Projetos\weather-tracking\App\weather_tracking_app\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Projetos\weather-tracking\App\weather_tracking_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Projetos\weather-tracking\App\weather_tracking_app\pubspec.yaml", "YAML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Projetos\weather-tracking\App\weather_tracking_app\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 3
"Total", "-", 58, 1072, 2, 7, 1, 485, 27, 151, 1803
