"filename", "language", "XML", "JSON", "C#", "Swift", "YAML", "Properties", "Gradle", "C++", "HTML", "Dart", "Markdown", "Docker", "comment", "blank", "total"
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\EntityHistory.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\PaymentMethod.cs", "C#", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\Person.cs", "C#", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 68
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\PersonAddress.cs", "C#", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\PersonPhoneNumber.cs", "C#", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\PhoneNumber.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\RoleProfile.cs", "C#", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\State.cs", "C#", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\TemporaryUserRole.cs", "C#", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 77
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\UserProfile.cs", "C#", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\WeatherAlert.cs", "C#", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 82
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\WeatherCondition.cs", "C#", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 135
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\WeatherForecast.cs", "C#", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 107
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\WeatherNotification.cs", "C#", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 88
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\AdditionalUserRoleFilterDb.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\AddressFilterDb.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\CityFilterDb.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\CountryFilterDb.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\DeviceFilterDb.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\PaymentMethodFilterDb.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\PersonAddressFilterDb.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\PersonFilterDb.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\RoleProfileFilterDb.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\StateFilterDb.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\TemporaryUserRoleFilterDb.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\UserProfileFilterDb.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\WeatherAlertFilterDb.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\WeatherConditionFilterDb.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\WeatherForecastFilterDb.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
